tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
158.00,0to2_1,486.40,8.84,18.00,6.34,4to0_0,3.10,0.00,tripinfo_flow3.7,140.00,flow3.7,0,996.90,1.18,0.00,40.24,car2,1,8.00
159.00,0to4_1,486.40,6.77,29.00,14.01,2to0_0,5.10,0.00,tripinfo_flow1.9,130.00,flow1.9,0,994.90,1.09,0.00,30.37,car1,0,0.00
159.00,0to3_2,486.40,9.80,32.00,13.67,1to0_0,7.10,0.00,tripinfo_flow0.11,127.00,flow0.11,0,965.70,1.10,0.00,31.55,car3,0,0.00
161.00,0to3_0,486.40,9.63,12.00,3.67,4to0_0,5.10,0.00,tripinfo_flow3.5,149.00,flow3.5,0,976.73,1.13,0.00,50.94,car1,1,12.00
163.00,0to3_1,486.40,9.52,39.00,19.01,4to0_0,3.10,0.00,tripinfo_flow3.12,124.00,flow3.12,0,978.73,0.99,0.00,24.99,car2,0,0.00
166.00,0to2_1,486.40,7.65,25.00,11.67,4to0_0,7.10,0.00,tripinfo_flow3.8,141.00,flow3.8,0,992.90,1.09,0.00,41.11,car3,3,5.00
166.00,0to2_0,486.40,8.21,30.00,15.01,4to0_0,7.10,0.00,tripinfo_flow3.9,136.00,flow3.9,0,992.90,0.88,0.00,36.29,car3,0,0.00
167.00,0to1_0,486.40,9.02,44.00,20.68,2to0_0,5.10,0.00,tripinfo_flow1.14,123.00,flow1.14,0,976.73,0.97,0.00,24.35,car1,0,0.00
169.00,0to2_0,486.40,9.45,43.00,21.34,4to0_0,5.10,0.00,tripinfo_flow3.13,126.00,flow3.13,0,994.90,1.02,0.00,26.32,car1,0,0.00
171.00,0to3_0,486.40,8.11,0.00,0.00,2to0_0,3.10,0.00,tripinfo_flow1.0,171.00,flow1.0,0,994.21,1.05,0.00,71.47,car2,2,47.00
174.00,0to1_0,486.40,8.88,10.00,3.34,4to0_0,5.10,0.00,tripinfo_flow3.4,164.00,flow3.4,0,992.21,0.83,0.00,63.74,car1,3,28.00
175.00,0to3_0,486.40,9.28,8.00,4.67,2to0_0,5.10,0.00,tripinfo_flow1.2,167.00,flow1.2,0,992.21,1.12,0.00,67.41,car1,2,36.00
179.00,0to3_0,486.40,9.70,15.00,8.34,2to0_0,3.10,0.00,tripinfo_flow1.4,164.00,flow1.4,0,994.21,0.97,0.00,64.26,car2,4,28.00
180.00,0to1_0,486.40,9.40,36.00,17.67,4to0_0,3.10,0.00,tripinfo_flow3.11,144.00,flow3.11,0,994.21,1.02,0.00,44.12,car2,2,3.00
181.00,0to2_2,486.40,19.77,43.00,19.68,1to0_0,7.10,0.00,tripinfo_flow0.14,138.00,flow0.14,0,990.21,2.00,0.00,88.36,ev,3,37.00
183.00,0to3_0,486.40,9.48,21.00,11.00,2to0_0,3.10,0.00,tripinfo_flow1.6,162.00,flow1.6,0,994.21,1.15,0.00,61.83,car2,3,19.00
186.00,0to3_1,486.40,9.25,33.00,16.34,2to0_0,3.10,0.00,tripinfo_flow1.10,153.00,flow1.10,0,994.21,1.17,0.00,52.88,car2,4,13.00
189.00,0to3_0,486.40,9.66,37.00,17.01,2to0_0,3.10,0.00,tripinfo_flow1.12,152.00,flow1.12,0,994.21,1.12,0.00,52.30,car2,5,10.00
195.00,0to4_1,486.40,19.14,38.00,18.01,3to0_0,7.10,0.00,tripinfo_flow2.12,157.00,flow2.12,0,990.21,2.00,0.00,106.88,ev,3,40.00
197.00,0to4_0,486.40,8.79,39.00,17.34,1to0_0,3.10,0.00,tripinfo_flow0.13,158.00,flow0.13,0,978.73,0.96,0.00,59.56,car2,1,31.00
199.00,0to1_0,486.40,8.40,22.00,10.34,3to0_0,7.10,0.00,tripinfo_flow2.7,177.00,flow2.7,0,992.90,1.08,0.00,77.38,car3,1,45.00
199.00,0to3_0,486.40,6.86,35.00,15.01,1to0_0,5.10,0.00,tripinfo_flow0.12,164.00,flow0.12,0,994.90,1.00,0.00,63.95,car1,1,37.00
200.00,0to1_1,486.40,7.33,35.00,16.67,3to0_0,5.10,0.00,tripinfo_flow2.11,165.00,flow2.11,0,994.90,0.94,0.00,65.22,car1,1,38.00
201.00,0to4_1,486.40,6.02,27.00,12.01,1to0_0,7.10,0.00,tripinfo_flow0.9,174.00,flow0.9,0,974.73,0.93,0.00,75.57,car3,1,44.00
203.00,0to4_0,486.40,7.18,25.00,11.67,3to0_0,7.10,0.00,tripinfo_flow2.8,178.00,flow2.8,0,990.21,0.91,0.00,78.74,car3,2,39.00
203.00,0to1_0,486.40,8.39,27.00,12.01,3to0_0,3.10,0.00,tripinfo_flow2.9,176.00,flow2.9,0,996.90,0.95,0.00,75.92,car2,1,45.00
203.00,0to1_1,486.40,7.94,45.00,21.68,3to0_0,5.10,0.00,tripinfo_flow2.14,158.00,flow2.14,0,994.90,0.92,0.00,58.38,car1,1,29.00
206.00,0to2_0,486.40,7.10,21.00,9.34,1to0_0,5.10,0.00,tripinfo_flow0.7,185.00,flow0.7,0,992.21,0.97,0.00,85.74,car1,4,48.00
206.00,0to1_2,486.40,7.34,31.00,14.34,3to0_0,7.10,0.00,tripinfo_flow2.10,175.00,flow2.10,0,992.90,1.05,0.00,75.15,car3,1,41.00
210.00,0to4_0,486.40,9.51,41.00,19.34,3to0_0,3.10,0.00,tripinfo_flow2.13,169.00,flow2.13,0,994.21,0.95,0.00,68.72,car2,2,33.00
212.00,0to2_0,486.40,7.63,30.00,13.34,1to0_0,3.10,0.00,tripinfo_flow0.10,182.00,flow0.10,0,994.21,1.06,0.00,82.31,car2,3,37.00
240.00,0to3_0,486.40,9.83,40.00,18.34,2to0_0,3.10,0.00,tripinfo_flow1.13,200.00,flow1.13,0,994.21,0.91,0.00,99.68,car2,2,55.00
