messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,21,28887,-8.38727,11.0879,37.5,6.35,0.3
2,19,28904,6.28336,8,0,9.05,1.3
2,23,28954,-7.2597,0.693982,351.8,2.54,1.8
2,21,28987,-8.27034,11.7076,46.5,6.35,-0.2
2,9,29036,8,-25.8701,270,9.42,2.2
2,12,29078,16.5217,-1.6,180,0.32,-0.3
2,21,29087,-8.18042,12.337,54.6,6.35,-0.3
2,21,29187,-8.09052,12.9663,61.2,6.35,0.2
2,22,29190,-17.1848,8,0,5.52,-0.7
2,19,29204,9.08941,8,0,9.63,1.5
2,23,29254,-6.48737,0.372419,349.4,3.11,1.8
2,21,29287,-8.00061,13.5957,67.7,6.35,0.6
2,9,29336,8,-28.7892,270,10.01,1.7
2,21,29387,-8,14.2396,74.3,6.52,2.2
2,21,29487,-8,14.9029,78.4,6.71,1.4
2,24,29478,-14.9185,1.6,0,2.46,2.4
2,19,29504,12.0681,8,0,10.2,2.5
2,23,29554,-5.61337,-0.151978,344.8,3.66,2.4
2,21,29587,-8,15.5866,82.7,6.92,1.6
2,22,29590,-14.8917,8,0,6.03,2.1
2,9,29636,8,-31.884,270,10.6,1.6
2,12,29678,16.3751,-1.6,180,0.18,-0.2
2,21,29687,-8,16.2911,86.2,7.13,1.8
2,21,29787,-8,17.0155,87.4,7.33,1.6
2,19,29804,15.2266,8,0,10.81,2
2,23,29854,-4.59242,-0.764549,339.3,4.26,2.3
2,11,29854,8.73459,-0.90354,171.9,0.15,2.5
2,24,29878,-13.7956,1.6,0,3.14,0.6
2,21,29887,-8,17.7591,88.6,7.52,2.5
2,21,29987,-8,18.523,89.8,7.71,1.9
2,9,29936,8,-35.1561,270,11.17,2.2
2,22,29990,-12.3802,8.17426,2,6.4,0.3
2,23,30054,-3.82486,-1.22509,335.1,4.65,1.5
2,11,30054,8.64964,-0.89138,171.8,0.67,2.6
2,21,30087,-8,19.306,90,7.92,2.3
2,19,30104,18.5611,8,0,11.36,0.3
2,24,30178,-12.7746,1.48185,358.6,3.69,1.6
2,9,30236,8,-38.6036,270,11.78,2.1
2,23,30254,-2.99365,-1.72381,330.7,5.02,2
2,11,30254,8.46524,-0.865183,171.8,1.15,2.4
2,22,30290,-10.5685,8.69889,8.1,6.4,0.3
2,21,30387,-8,21.7716,90,8.48,1.9
2,19,30404,21.968,8,0,11.35,-0.5
2,23,30454,-2.13642,-2.30596,328.3,5.42,1.3
2,11,30454,8.18936,-0.826004,171.8,1.6,2.5
2,12,30478,16.1119,-1.6,180,0.73,1.6
2,24,30478,-11.5945,1.31292,356.7,4.24,1.9
2,22,30490,-9.47045,9.35773,16.1,6.4,0.4
2,9,30536,8,-42.2307,270,12.37,1.5
2,22,30590,-9.11282,9.87863,22.9,6.39,-0.5
2,23,30654,-1.55545,-3.27425,322.1,5.84,1.7
2,11,30654,7.82576,-0.774369,171.8,2.04,2.2
2,22,30690,-8.78339,10.4277,29.5,6.4,0.1
2,21,30687,-8,24.4108,90,9.06,1.6
2,19,30704,25.3748,8,0,11.35,0.2
2,24,30778,-10.246,1.11989,354.4,4.81,1.9
2,22,30790,-8.45391,10.9768,36.1,6.4,-0.1
2,9,30836,8,-46.0317,270,12.95,2.1
2,23,30854,-0.932782,-4.31203,315.2,6.24,2
2,12,30878,15.6917,-1.6,180,1.36,1.4
2,22,30890,-8.288,11.584,44.6,6.4,-0.4
2,11,30954,7.12651,-0.675067,171.8,2.64,2.3
2,22,30990,-8.19747,12.2177,53.3,6.39,0
2,21,30987,-8,27.2191,90,9.63,1.5
2,19,31004,28.7814,8,0,11.36,1.2
2,23,31054,-0.270009,-5.41665,307.8,6.61,1.8
2,24,31078,-8.72827,0.902635,351.9,5.37,1.8
2,22,31090,-8.10689,12.8517,60,6.4,-0.1
2,9,31136,8,-50.0112,270,13.55,2.1
2,12,31178,15.1993,-1.6,180,1.9,1.4
2,22,31190,-8.01634,13.4856,66.6,6.4,0.6
2,11,31254,6.33932,-0.283593,168.6,3.24,1.5
2,23,31254,0.432264,-6.58711,300.9,7.01,2.5
2,22,31290,-8,14.1315,73.6,6.54,1.6
2,21,31287,-8,30.2005,90,10.22,1.9
2,22,31390,-8,14.7967,77.8,6.74,1.9
2,24,31378,-7.04713,0.663794,351.8,5.93,1.2
2,19,31404,33.3234,8,0,11.36,0.6
2,9,31436,8,-54.171,270,14.16,2.5
