timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
8.00,3to0,3to0_0,flow2.0,40.65,7.29
8.00,3to0,3to0_1,flow2.1,14.99,4.00
8.00,3to0,3to0_2,,,
8.00,4to0,4to0_0,flow3.3,7.10,0.00
8.00,4to0,4to0_0,flow3.2,19.00,6.86
8.00,4to0,4to0_0,flow3.0,52.49,9.92
8.00,4to0,4to0_1,flow3.1,28.75,8.62
8.00,4to0,4to0_2,,,
9.00,1to0,1to0_0,flow0.3,3.10,0.00
9.00,1to0,1to0_0,flow0.2,10.86,3.23
9.00,1to0,1to0_0,flow0.0,67.15,7.41
9.00,1to0,1to0_1,flow0.1,22.02,5.99
9.00,1to0,1to0_2,,,
9.00,2to0,2to0_0,flow1.2,7.56,2.46
9.00,2to0,2to0_0,flow1.1,28.76,8.04
9.00,2to0,2to0_0,flow1.0,62.02,9.88
9.00,2to0,2to0_1,,,
9.00,2to0,2to0_2,,,
9.00,3to0,3to0_0,flow2.2,6.80,1.70
9.00,3to0,3to0_0,flow2.0,48.99,8.33
9.00,3to0,3to0_1,flow2.1,24.30,9.31
9.00,3to0,3to0_2,,,
9.00,4to0,4to0_0,flow3.3,8.40,1.30
9.00,4to0,4to0_0,flow3.2,26.56,7.56
9.00,4to0,4to0_0,flow3.0,60.21,7.72
9.00,4to0,4to0_1,flow3.1,37.64,8.89
9.00,4to0,4to0_2,,,
10.00,1to0,1to0_0,flow0.4,7.10,0.00
10.00,1to0,1to0_0,flow0.2,15.07,4.21
10.00,1to0,1to0_0,flow0.0,74.91,7.76
10.00,1to0,1to0_1,flow0.3,4.21,1.11
10.00,1to0,1to0_1,flow0.1,30.12,8.10
10.00,1to0,1to0_2,,,
10.00,2to0,2to0_0,flow1.2,10.62,3.06
10.00,2to0,2to0_0,flow1.0,70.65,8.63
10.00,2to0,2to0_1,flow1.1,37.94,9.17
10.00,2to0,2to0_2,,,
10.00,3to0,3to0_0,flow2.2,8.71,1.92
10.00,3to0,3to0_0,flow2.0,57.97,8.98
10.00,3to0,3to0_1,flow2.1,38.79,14.49
10.00,3to0,3to0_2,,,
10.00,4to0,4to0_0,flow3.4,5.10,0.00
10.00,4to0,4to0_0,flow3.2,33.34,6.77
10.00,4to0,4to0_0,flow3.0,67.33,7.13
10.00,4to0,4to0_1,flow3.3,12.59,4.19
10.00,4to0,4to0_1,flow3.1,45.14,7.50
10.00,4to0,4to0_2,,,
11.00,1to0,1to0_0,flow0.4,7.47,0.37
11.00,1to0,1to0_0,flow0.2,22.14,7.07
11.00,1to0,1to0_0,flow0.0,81.73,6.83
11.00,1to0,1to0_1,flow0.3,7.47,3.26
11.00,1to0,1to0_1,flow0.1,39.53,9.40
11.00,1to0,1to0_2,,,
11.00,2to0,2to0_0,flow1.2,14.53,3.91
11.00,2to0,2to0_0,flow1.0,78.97,8.32
11.00,2to0,2to0_1,flow1.1,49.73,11.79
11.00,2to0,2to0_2,,,
11.00,3to0,3to0_0,flow2.3,5.10,0.00
11.00,3to0,3to0_0,flow2.2,13.48,4.77
11.00,3to0,3to0_0,flow2.0,67.83,9.86
11.00,3to0,3to0_1,flow2.1,56.21,17.42
11.00,3to0,3to0_2,,,
11.00,4to0,4to0_0,flow3.4,8.20,3.10
11.00,4to0,4to0_0,flow3.2,42.12,8.78
11.00,4to0,4to0_0,flow3.0,74.50,7.16
11.00,4to0,4to0_1,flow3.3,16.88,4.29
11.00,4to0,4to0_1,flow3.1,53.21,8.07
11.00,4to0,4to0_2,,,
12.00,1to0,1to0_0,flow0.4,12.75,5.28
12.00,1to0,1to0_0,flow0.2,30.14,8.00
12.00,1to0,1to0_0,flow0.0,88.06,6.33
12.00,1to0,1to0_1,flow0.3,12.01,4.54
12.00,1to0,1to0_1,flow0.1,48.45,8.93
12.00,1to0,1to0_2,,,
12.00,2to0,2to0_0,flow1.3,7.10,0.00
12.00,2to0,2to0_0,flow1.2,20.83,6.30
12.00,2to0,2to0_0,flow1.0,88.92,9.94
12.00,2to0,2to0_1,,,
12.00,2to0,2to0_2,flow1.1,63.31,13.58
12.00,3to0,3to0_0,flow2.3,6.24,1.14
12.00,3to0,3to0_0,flow2.2,18.93,5.45
12.00,3to0,3to0_0,flow2.0,76.13,8.29
12.00,3to0,3to0_1,flow2.1,74.44,18.23
12.00,3to0,3to0_2,,,
12.00,4to0,4to0_0,flow3.5,5.10,0.00
12.00,4to0,4to0_0,flow3.4,14.36,6.17
12.00,4to0,4to0_0,flow3.2,48.70,6.58
12.00,4to0,4to0_0,flow3.0,82.25,7.75
12.00,4to0,4to0_1,flow3.3,21.78,4.90
12.00,4to0,4to0_1,flow3.1,61.26,8.05
12.00,4to0,4to0_2,,,
13.00,1to0,1to0_0,flow0.5,7.10,0.00
13.00,1to0,1to0_0,flow0.4,19.40,6.65
13.00,1to0,1to0_0,flow0.2,37.18,7.04
13.00,1to0,1to0_0,flow0.0,97.00,8.94
13.00,1to0,1to0_1,flow0.3,17.61,5.60
13.00,1to0,1to0_1,flow0.1,57.37,8.91
13.00,1to0,1to0_2,,,
13.00,2to0,2to0_0,flow1.3,9.35,2.25
13.00,2to0,2to0_0,flow1.2,27.82,6.99
13.00,2to0,2to0_1,flow1.0,98.64,9.73
13.00,2to0,2to0_2,flow1.1,79.77,16.46
13.00,3to0,3to0_0,flow2.3,9.48,3.25
13.00,3to0,3to0_0,flow2.2,27.72,8.79
